fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-dense-advanced-vector,incorrect-pitch,pitch,3,1,1,A4,A#4,2.5,2.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,3,1,1,C5,C#5,3,3,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,3,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,3,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,3,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,3,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-pitch,pitch,4,1,1,C5,C#5,2,2,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,4,1,1,A4,A#4,3,3,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,4,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,4,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-pitch,pitch,5,1,1,C5,C#5,1.5,1.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,5,1,1,D5,D#5,2,2,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,5,1,1,C5,C#5,2.5,2.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,5,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,5,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,5,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-pitch,pitch,6,1,1,F5,F#5,1,1,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,6,1,1,D5,D#5,1.5,1.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,6,1,1,D5,D#5,2.5,2.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,6,1,1,F5,F#5,3,3,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,6,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,6,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,6,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,6,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-pitch,pitch,7,1,1,F5,F#5,0.5,0.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,7,1,1,G5,G#5,1,1,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,7,1,1,G5,G#5,3,3,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,7,1,1,F5,F#5,3.5,3.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-pitch,pitch,8,1,1,F5,F#5,1.5,1.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,8,1,1,G5,G#5,2,2,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,8,1,1,F5,F#5,2.5,2.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
guitar-tab-sparse-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
guitar-standard-chords-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
guitar-paired-chords-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
guitar-techniques-paired-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
